gt_raw_name,normalized,wcvp_accepted_binomial,match_tier,n_gt_crowns,in_corpus_vocabulary
Croton billbergianus,croton billbergianus,,a_exact_binomial,4,True
Dendropanax arboreus,dendropanax arboreus,,c_genus_only_in_corpus,4,False
Pochota,pochota,,c_gt_label_is_genus_only,4,False
Quararibea asterolepis-QUARAS,quararibea asterolepis,,b_normalized,4,True
Sapotaceae,sapotaceae,,c_gt_label_is_genus_only,4,False
Serjania mexicana,serjania mexicana,paullinia fuscescens,a_exact_binomial,4,True
Aiouea montana,aiouea montana,,a_exact_binomial,3,True
Arecaceae,arecaceae,,c_gt_label_is_genus_only,3,False
Bignonia aequinoctialis,bignonia aequinoctialis,,a_exact_binomial,3,True
Bignonia corymbosa,bignonia corymbosa,,a_exact_binomial,3,True
Chrysophyllum,chrysophyllum,,c_gt_label_is_genus_only,3,False
Chrysophyllum argenteum,chrysophyllum argenteum,,a_exact_binomial,3,True
Cinnamomum triplinerve,cinnamomum triplinerve,aiouea montana,d_wcvp_synonym,3,True
Coccoloba manzinellensis,coccoloba manzinellensis,,a_exact_binomial,3,True
Combretum,combretum,,c_gt_label_is_genus_only,3,False
Cordia bicolor,cordia bicolor,,a_exact_binomial,3,True
Didymopanax morototoni,didymopanax morototoni,,a_exact_binomial,3,True
Drypetes standleyi,drypetes standleyi,,c_genus_only_in_corpus,3,False
Ficus yoponensis,ficus yoponensis,,a_exact_binomial,3,True
Guarea grandifolia,guarea grandifolia,guarea guidonia,d_wcvp_synonym,3,True
Gustavia,gustavia,,c_gt_label_is_genus_only,3,False
Lafoensia punicifolia,lafoensia punicifolia,,a_exact_binomial,3,True
Machaerium isadelphum,machaerium isadelphum,,a_exact_binomial,3,True
Macrocnemum roseum,macrocnemum roseum,,a_exact_binomial,3,True
Mascagnia divaricata-MAS2DI,mascagnia divaricata,,b_normalized,3,True
Moquilea platypus,moquilea platypus,,a_exact_binomial,3,True
Pouteria reticulata,pouteria reticulata,,a_exact_binomial,3,True
Prioria,prioria,,c_gt_label_is_genus_only,3,False
Tachigali,tachigali,,c_gt_label_is_genus_only,3,False
Tontelea passiflora,tontelea passiflora,,a_exact_binomial,3,True
Trema domingense,trema domingense,,c_genus_only_in_corpus,3,False
Vatairea erythrocarpa,vatairea erythrocarpa,,a_exact_binomial,3,True
Anacardium,anacardium,,c_gt_label_is_genus_only,2,False
Cassipourea elliptica,cassipourea elliptica,,a_exact_binomial,2,True
Coccoloba excelsa,coccoloba excelsa,,a_exact_binomial,2,True
Cordia,cordia,,c_gt_label_is_genus_only,2,False
Cosmibuena macrocarpa,cosmibuena macrocarpa,,a_exact_binomial,2,True
Doliocarpus,doliocarpus,,c_gt_label_is_genus_only,2,False
Enterolobium,enterolobium,,c_gt_label_is_genus_only,2,False
Fabaceae,fabaceae,,c_gt_label_is_genus_only,2,False
Ficus matiziana,ficus matiziana,,c_genus_only_in_corpus,2,False
Ficus maxima,ficus maxima,,a_exact_binomial,2,True
Ficus obtusifolia-FICUOB,ficus obtusifolia,,b_normalized,2,True
Ficus popenoei,ficus popenoei,,a_exact_binomial,2,True
Guapira standleyana,guapira standleyana,guapira myrtiflora,d_wcvp_synonym,2,True
Hippocrateaceae,hippocrateaceae,,c_gt_label_is_genus_only,2,False
Inga acuminata,inga acuminata,,c_genus_only_in_corpus,2,False
Inga thibaudiana,inga thibaudiana,,a_exact_binomial,2,True
Jupunba macradenia,jupunba macradenia,,a_exact_binomial,2,True
Luehea speciosa,luehea speciosa,,a_exact_binomial,2,True
Malvaceae,malvaceae,,c_gt_label_is_genus_only,2,False
Pachira,pachira,,c_gt_label_is_genus_only,2,False
Platymiscium dimorphandrum,platymiscium dimorphandrum,,c_genus_only_in_corpus,2,False
Serjania pyramidata,serjania pyramidata,,a_exact_binomial,2,True
Socratea exorrhiza,socratea exorrhiza,,a_exact_binomial,2,True
Symphonia globulifera,symphonia globulifera,,a_exact_binomial,2,True
Tanaecium pyramidatum,tanaecium pyramidatum,,a_exact_binomial,2,True
Tetrathylacium johansenii,tetrathylacium johansenii,,e_absent_from_corpus,2,False
Tynnanthus croatianus,tynnanthus croatianus,tynanthus croatianus,d_wcvp_synonym,2,True
Virola fosteri,virola fosteri,,a_exact_binomial,2,True
Vochysia ferruginea,vochysia ferruginea,,a_exact_binomial,2,True
Zanthoxylum panamense,zanthoxylum panamense,,a_exact_binomial,2,True
Zuelania guidonia,zuelania guidonia,casearia laetioides,d_wcvp_synonym,2,True
Abarema macradenia,abarema macradenia,jupunba macradenia,d_wcvp_synonym,1,True
Acacia hayesii,acacia hayesii,senegalia hayesii,d_wcvp_synonym,1,True
Adelphia hiraea,adelphia hiraea,,e_absent_from_corpus,1,False
Aegiphila cephalophora,aegiphila cephalophora,,c_genus_only_in_corpus,1,False
Alseis,alseis,,c_gt_label_is_genus_only,1,False
Anacardiaceae,anacardiaceae,,c_gt_label_is_genus_only,1,False
Anacardium occidentale,anacardium occidentale,,a_exact_binomial,1,True
Annona spraguei,annona spraguei,,a_exact_binomial,1,True
Arrabidaea,arrabidaea,,c_gt_label_is_genus_only,1,False
Arrabidaea patellifera,arrabidaea patellifera,fridericia patellifera,d_wcvp_synonym,1,True
Arrabidaea verrucosa,arrabidaea verrucosa,fridericia schumanniana,d_wcvp_synonym,1,True
Bignonia,bignonia,,c_gt_label_is_genus_only,1,False
Blakea parasitica,blakea parasitica,,a_exact_binomial,1,True
Brosimum,brosimum,,c_gt_label_is_genus_only,1,False
Burseraceae,burseraceae,,c_gt_label_is_genus_only,1,False
Casearia arborea,casearia arborea,,a_exact_binomial,1,True
Casearia laetioides,casearia laetioides,,a_exact_binomial,1,True
Cecropia,cecropia,,c_gt_label_is_genus_only,1,False
Cecropia obtusifolia,cecropia obtusifolia,,a_exact_binomial,1,True
Chomelia psilocarpa,chomelia psilocarpa,,e_absent_from_corpus,1,False
Cissus erosa,cissus erosa,,a_exact_binomial,1,True
Combretaceae,combretaceae,,c_gt_label_is_genus_only,1,False
Combretum fruticosum,combretum fruticosum,,a_exact_binomial,1,True
Convolvulaceae,convolvulaceae,,c_gt_label_is_genus_only,1,False
Coussapoa villosa,coussapoa villosa,,a_exact_binomial,1,True
Cupania rufescens,cupania rufescens,,a_exact_binomial,1,True
Cydista aequinoctialis,cydista aequinoctialis,bignonia aequinoctialis,d_wcvp_synonym,1,True
Davilla,davilla,,c_gt_label_is_genus_only,1,False
Davilla kunthii-DAVIKU,davilla kunthii,,b_normalized,1,True
Dilleniaceae,dilleniaceae,,c_gt_label_is_genus_only,1,False
Doliocarpus major,doliocarpus major,,a_exact_binomial,1,True
Doliocarpus multiflorus,doliocarpus multiflorus,,a_exact_binomial,1,True
Eugenia coloradoensis,eugenia coloradoensis,eugenia florida,c_genus_only_in_corpus,1,False
Eugenia nesiotica,eugenia nesiotica,,c_genus_only_in_corpus,1,False
Euphorbiaceae,euphorbiaceae,,c_gt_label_is_genus_only,1,False
Faramea,faramea,,c_gt_label_is_genus_only,1,False
Faramea occidentalis,faramea occidentalis,,a_exact_binomial,1,True
Fevillea cordifolia,fevillea cordifolia,,e_absent_from_corpus,1,False
Ficus costaricana,ficus costaricana,,a_exact_binomial,1,True
Gnetum,gnetum,,c_gt_label_is_genus_only,1,False
Gnetum leyboldii,gnetum leyboldii,,e_absent_from_corpus,1,False
Guapira,guapira,,c_gt_label_is_genus_only,1,False
Guarea,guarea,,c_gt_label_is_genus_only,1,False
Heteropterys laurifolia,heteropterys laurifolia,heteropterys intermedia,a_exact_binomial,1,False
Hiraea reclinata,hiraea reclinata,,a_exact_binomial,1,True
Humiriaceae,humiriaceae,,c_gt_label_is_genus_only,1,False
Inga goldmanii,inga goldmanii,,a_exact_binomial,1,True
Inga laurina,inga laurina,,a_exact_binomial,1,True
Inga pezizifera,inga pezizifera,,c_genus_only_in_corpus,1,False
Inga sapindoides,inga sapindoides,,a_exact_binomial,1,True
Lacmellea panamensis,lacmellea panamensis,,a_exact_binomial,1,True
