queue,global_key,split,predicted_species,confidence,species_labelled_crowns,species_top1_accuracy,novelty_rank,batch_id
normal,comb_DJI_20251014103849_0013_V_4891zoom.JPG,,apeiba membranacea,0.325610,40,0.7750,1963,41
normal,comb_DJI_20251010125231_0007_V_7658zoom.JPG,,fridericia candicans,0.091760,40,0.8250,1966,44
normal,comb_DJI_20260112123300_0029_V_5038zoom.JPG,,uncaria tomentosa,0.781840,53,0.7170,1971,39
normal,comb_DJI_20251015132057_0029_V_8833zoom.JPG,,protium stevensonii,0.237460,45,0.7333,1973,33
normal,comb_DJI_20250520093734_0022_V_119zoom.JPG,,brosimum alicastrum,0.258500,35,0.8571,1979,47
normal,comb_DJI_20251009095026_0015_V_9066zoom.JPG,,fridericia candicans,0.390950,40,0.8250,1982,44
normal,comb_DJI_20250110163842_0004_V_6zoom.JPG,,luehea seemannii,0.650670,143,0.8741,1987,37
normal,comb_DJI_20251009102528_0053_V_7405zoom.JPG,,hippocratea volubilis,0.273080,19,0.8421,1989,30
normal,comb_DJI_20251009083327_0001_V_7267zoom.JPG,,handroanthus guayacan,0.541860,86,0.9186,1990,28
normal,comb_DJI_20260114102713_0027_V_3637zoom.JPG,,protium stevensonii,0.196450,45,0.7333,1991,33
normal,comb_DJI_20250926111102_0041_V_2380zoom.JPG,,fridericia candicans,0.456430,40,0.8250,1994,44
normal,comb_DJI_20251017101730_0049_V_1493zoom.JPG,,uncaria tomentosa,0.096460,53,0.7170,1995,39
normal,comb_DJI_20250930115814_0007_V_4871zoom.JPG,,ceiba pentandra,0.212670,59,0.8644,1997,35
normal,comb_DJI_20241126103138_0032_V_650zoom.JPG,,tachigali panamensis,0.116460,64,0.8906,2001,50
normal,comb_DJI_20260322093050_0009_V_1747tele.JPG,,hieronyma alchorneoides,0.742570,107,0.9252,2002,24
normal,comb_DJI_20251014112918_0017_V_6367zoom.JPG,,terminalia amazonia,0.378990,85,0.7412,2003,32
normal,comb_DJI_20260322091757_0051_V_2559tele.JPG,,hieronyma alchorneoides,0.616320,107,0.9252,2004,24
normal,comb_DJI_20250807114117_0015_V_5733zoom.JPG,,protium stevensonii,0.101570,45,0.7333,2006,33
normal,comb_DJI_20251016125055_0035_V_3612zoom.JPG,,davilla nitida,0.110750,21,0.7619,2007,42
normal,comb_DJI_20251015130455_0005_V_7627zoom.JPG,,hippocratea volubilis,0.145370,19,0.8421,2008,30
normal,comb_DJI_20260318105207_0057_V_5482tele.JPG,,dipteryx oleifera,0.682790,281,0.9644,2009,26
normal,comb_DJI_20250806101724_0014_V_11zoom.JPG,,brosimum alicastrum,0.159690,35,0.8571,2012,47
normal,comb_DJI_20241226124849_0004_V_1255zoom.JPG,,davilla nitida,0.094180,21,0.7619,2014,42
normal,comb_DJI_20251009095741_0039_V_8986zoom.JPG,,davilla nitida,0.426370,21,0.7619,2015,42
normal,comb_DJI_20260114131407_0011_V_2457zoom.JPG,,prioria copaifera,0.736100,121,0.9008,2018,20
normal,comb_DJI_20250522102653_0001_V_89zoom.JPG,,hippocratea volubilis,0.019750,19,0.8421,2023,30
normal,comb_DJI_20251015132129_0031_V_6711zoom.JPG,,davilla nitida,0.327440,21,0.7619,2025,42
normal,comb_DJI_20240911153320_0046_V_4506zoom.JPG,,oenocarpus mapora,0.294940,15,0.7333,2026,43
normal,comb_DJI_20240913112754_0038_V_4606zoom.JPG,,ocotea leptobotra,0.568810,15,0.8667,2027,49
normal,comb_DJI_20250106110842_0044_V_5837zoom.JPG,,hippocratea volubilis,0.282460,19,0.8421,2028,30
normal,comb_DJI_20250305132129_0012_V_4963zoom.JPG,,hippocratea volubilis,0.616480,19,0.8421,2034,30
normal,comb_DJI_20260112120650_0033_V_6264zoom.JPG,,protium stevensonii,0.640810,45,0.7333,2039,33
normal,comb_DJI_20250716091243_0004_V_281zoom.JPG,,luehea seemannii,0.774360,143,0.8741,2040,37
normal,comb_DJI_20251010082605_0011_V_1656zoom.JPG,,hippocratea volubilis,0.390470,19,0.8421,2044,30
normal,comb_DJI_20241107110332_0024_V_1663zoom.JPG,,hippocratea volubilis,0.293000,19,0.8421,2048,30
normal,comb_DJI_20250523102325_0005_V_49zoom.JPG,,spondias radlkoferi,0.201550,11,0.8182,2049,31
normal,comb_DJI_20241127094446_0002_V_2377zoom.JPG,,spondias radlkoferi,0.322410,11,0.8182,2052,31
normal,comb_DJI_20250305125358_0014_V_6092zoom.JPG,,pouteria stipitata,0.243420,20,0.8000,2054,46
