species,gt_raw_labels,n_labelled_frames,n_correct_top1,top1_accuracy,n_correct_top5,top5_accuracy,n_guessed_frames,precision,recall,f1,mean_top1_confidence,median_top1_confidence,p25_top1_confidence,p75_top1_confidence,iqr_top1_confidence,mean_top1_confidence_when_correct,in_corpus_vocabulary,in_project_checklist,support_bucket,status
paullinia fuscescens,Serjania mexicana,4,2,0.5000,3,0.7500,3,0.6667,0.5000,0.5714,0.2670,0.2106,0.1793,0.2984,0.1191,0.1940,True,True,2-4,ranking
tontelea passiflora,Tontelea ovalifolia_subsp._richardii|Tontelea passiflora,4,1,0.2500,3,0.7500,5,0.2000,0.2500,0.2222,0.5435,0.5317,0.2515,0.8238,0.5723,0.9349,True,True,2-4,ranking
bignonia corymbosa,Bignonia corymbosa,3,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.1090,0.0863,0.0844,0.1223,0.0379,,True,True,2-4,unmeasured
casearia laetioides,Casearia laetioides|Zuelania guidonia,3,2,0.6667,2,0.6667,4,0.5000,0.6667,0.5714,0.4270,0.2934,0.1657,0.6216,0.4559,0.6216,True,True,2-4,unmeasured
chrysophyllum argenteum,Chrysophyllum argenteum,3,2,0.6667,2,0.6667,3,0.6667,0.6667,0.6667,0.5388,0.6280,0.3368,0.7854,0.4486,0.7854,True,True,2-4,unmeasured
coccoloba manzinellensis,Coccoloba manzinellensis,3,2,0.6667,2,0.6667,2,1.0000,0.6667,0.8000,0.4953,0.5458,0.4046,0.6113,0.2067,0.6113,True,True,2-4,unmeasured
cordia bicolor,Cordia bicolor,3,2,0.6667,3,1.0000,3,0.6667,0.6667,0.6667,0.5484,0.6587,0.3894,0.7625,0.3731,0.4932,True,True,2-4,ranking
didymopanax morototoni,Didymopanax morototoni,3,1,0.3333,2,0.6667,1,1.0000,0.3333,0.5000,0.4069,0.5631,0.3237,0.5681,0.2445,0.5631,True,True,2-4,ranking
drypetes standleyi,Drypetes standleyi,3,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0730,0.0187,0.0177,0.1012,0.0835,,False,True,2-4,unreachable
ficus yoponensis,Ficus yoponensis,3,1,0.3333,2,0.6667,1,1.0000,0.3333,0.5000,0.4199,0.3285,0.1711,0.6231,0.4520,0.9177,True,True,2-4,ranking
